row_id,waktu,tweet_id,username,tweet,web,kota
19,3/24/2021 14:21,1.37E+18,Aldo Sallis,"Kasus Meningkat, Kalteng Kembali Terapkan  pembatasan Kegiatan Masyarakat",https://t.co/O3mVFychn,
20,3/24/2021 13:14,1.37E+18,Jefri Tftt,"KARIMUN masker  Sinergisitas Polsek Meral, UPT Puskesmas Meral   Instansi Pemerintah Kelurahan melaksanakan pembentukan Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro di Jln. A.  Yani Gg. aussalam Rt. 01/Rw.03 Kel. Meral Kota Kec. Meral",https://t.co/m9IRUwAlmp,Kec. Meral
21,3/24/2021 13:14,1.37E+18,Jefri Tftt,"KARIMUN masker  Sinergisitas Polsek Meral, UPT Puskesmas Meral   Instansi Pemerintah Kelurahan melaksanakan pembentukan Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro di Jln. A.  Yani Gg. aussalam Rt. 01/Rw.03 Kel. Meral Kota Kec. Meral",https://t.co/Cj7Qn2ypRw,Kec. Meral
22,3/24/2021 13:14,1.37E+18,Jefri Tftt,"KARIMUN masker  Sinergisitas Polsek Meral, UPT Puskesmas Meral   Instansi Pemerintah Kelurahan melaksanakan pembentukan Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro di Jln. A.  Yani Gg. aussalam Rt. 01/Rw.03 Kel. Meral Kota Kec. Meral",https://t.co/t2FMlP9r1,Kec. Meral
23,3/24/2021 12:27,1.37E+18,dprdsumedang,Saat ini Sumedang sedang melaksanakan pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) maka dari itu mari kita patuhi petunjuk dari Pemerintah dan perketat pelaksanaan protokol kesehatan untuk melindungi diri kita dan orang lain dari penyebaran Covid-19.,https://t.co/mvOlUkQIJ1,
24,3/24/2021 12:14,1.37E+18,Kejaksaan Negeri Kapuas,"Kepala Kejaksaan Negeri Kapuas menghadiri Rapat Koordinasi dalam rangka kesiapan pelaksanaan Pemberlakukan  pembatasan Kegiatan Masyarakat (PPKM) di Provinsi Kalimantan Tengah, melalui Virtual yang diselenggarakan di Ruang Rapat bupati Kabupaten Kapuas.(24/03/2021)",https://t.co/w9RJenfDLT,
25,3/24/2021 12:14,1.37E+18,Kodim 0725/Sragen,"Wujudkan kondusifitas wilayah, Anggota Koramil 07/Ngrampal bersama Polsek Ngrampal melaksanakan patroli dan operasi Yustisi dalam rangka Penegakan PPKM ( pelaksanaan  pembatasan Kegiatan Masyarakat ) guna memutus mata rantai penyebaran Covid 19 di wilayah Kec. Ngrampal Ka. Sragen",https://t.co/zh1GnvF8xZ,
26,3/24/2021 12:06,1.37E+18,Rockysp,"KARIMUN masker  Bhabinkamtibmas Polsek Meral Polres Karimun melaksanakan DDS (Door To Door System) pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) Skala Mikro dengan 3 T (Testing, Tracing dan Treatman) guna memutus mata rantai penyebaran Covid-19 di wilayah Hukum Polsek", https://t.co/kwibTdUYyq,
27,3/24/2021 12:04,1.37E+18,Rockysp,"KARIMUN masker  Sinergisitas Polsek Meral, UPT Puskesmas Meral   Instansi Pemerintah Kelurahan melaksanakan Pembentukan Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro di Jln. A.  Yani Gg. aussalam Rt. 01/Rw.03 Kel. Meral Kota Kec. Meral", https://t.co/fyOsHf3P2R,
28,3/24/2021 11:58,1.37E+18,Kodim 0725/Sragen,"Piket Koramil 16/Miri Sertu Slamet Sriyanto bersama anggota Polsek miri melaksanakan Pemantauan tempat keramaian guna mengantisipasi penularan Covid 19 dan pemberlakuan  pembatasan Kegiatan Masyarakat di wibilayah Kecamatan Miri, Ka. Sragen.",https://t.co/cKos4ekgQw,
29,3/24/2021 11:41,1.37E+18,Diskominfosantik Kalteng,"gubernur Kalimantan Tengah H Sugianto Saran menghadiri kegiatan Launching Posko Pemberlakukan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro di RT 15 Kelurahan Sidorejo, Kecamatan barut Selatan, Kabupaten Kotawabringin barat (Koar), Rabu (24/3/2021)",https://t.co/Y0nUDNS40,
30,3/24/2021 11:39,1.37E+18,Sekretariat Daerah Kalteng,"gubernur Sugianto Saran memimpin langsung Rapat Koordinasi dalam rangka Kesiapan pelaksanaan pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro di wilayah Provinsi Kalteng, bertempat di Aula Kantor bupati Kotawabringin barat, Pangkalan un, Rabu, 24 Maret 2021.",https://t.co/qKnGx3DxmM,
31,3/24/2021 11:34,1.37E+18,mikirdoeloe,Satgas Penanganan Covid-19 terus melakukan pemantauan terhadap Provinsi-Provinsi yang menerapkan kebijakan pemberlakuan  pembatasan Kegiatan Masyarakat tingkat kelurahan atau desa (PPKM Mikro) yang sudah memasuki tahap 4.,https://t.co/K4e9ZHQplw,
32,3/24/2021 11:20,1.37E+18,Diskominfosantik Kalteng,"gubernur H. Sugianto Saran Pimpin Rapat Koordinasi pemberlakuan  pembatasan Kegiatan Masyarakat di wilayah Provinsi Kalteng bertempat di Aula Kantor bupati Kotawabringin barat, Rabu (24/03/2021).",https://t.co/gf93Dvy7zi,
33,3/24/2021 11:15,1.37E+18,kaarsumawa.com,"Sejumlah Desa Sudah Terapkan PPKM Mikro https://t.co/2nqWnaTyz lewat @kaarsumawa   pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) Skala Mikro, dalam rangka penanganan Covid-19 sudah mulai diterapkan di sejumlah Desa di Kabupaten Sumawa.",https://t.co/dyDMHHc8mH,sumawa
34,3/24/2021 10:58,1.37E+18,Humas Polsek Petir,Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) Ds. Kp. baru Kec. Petir. Rabu (24/3/2021). ,https://t.co/cGmSzVXYj5,
35,3/24/2021 10:23,1.37E+18,Polsek Terentang kubu Raya,  Staf Pemerintahan Kecamatan Kecamatan Terentang  Kabupaten kubu Raya.  memberi himbauan 5M  Dalam rangka Pemberlakukan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro .,https://t.co/3jEQ7IPkKh,kubu Raya
36,3/24/2021 10:03,1.37E+18,Ponorogo Heat,"Merujuk pada Surat Edaran bupati Ponorogo, nomor : 712/864/405.01.3/2021 tentang pemberlakuan  pembatasan Kegiatan Masyarakat berbasis Mikro (PPKM) untuk proses pembelajaran Tatap Muka (PTM) sudah diizinkan",https://t.co/4oVYy7Tk8E,
37,3/24/2021 9:40,1.37E+18,HUMAS POLSEK ANTUL,"Polsek antul mendampingi Tim Supervisi Maes Polri mengecek Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro, Rabu (24/3/2021).",https://t.co/acP0U8fPDV,
38,3/24/2021 9:33,1.37E+18,MCreative Palangka,Bhabinkamtibmas Desa Ramania Cek Dan Kontrol Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro ,https://t.co/GOkmFEpo69,
39,3/24/2021 9:26,1.37E+18,Diskominfo SP Murung Raya,Launching Posko pemberlakuan  pembatasan Kegiatan Masyarakat Skala Mikro di Kelurahan beriwibt,https://t.co/WWkTa4J2ir,
40,3/24/2021 9:13,1.37E+18,Diskominfo Kapuas,Dinkes Ikut Hadiri Rapat pemberlakuan  pembatasan Kegiatan Masyarakat ,https://t.co/01TKhGI8c8,
41,3/24/2021 9:09,1.37E+18,Humas Kumham Kalteng,Palangka Raya Kanwibl Kemenkumham Kalteng Ikuti Rakor Dalam Rangka pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) di wilayah Provinsi Kalimantan Tengah secara virtual. Senin (24/03/2021),https://t.co/2HzsH7Wmr,
42,3/24/2021 8:59,1.37E+18,MANGGARAI SELATAN,"Selasa, 23 Maret 2021 Pemerintah Kelurahan Manggarai Selatan menerima  bantuan Sarana Pendukung Kegiatan pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) Mikro dari PD Provinsi DKI Jakarta. ",https://t.co/U7YKGnghR,DKI Jakarta
43,3/24/2021 8:33,1.37E+18,Polsekmedankota,"Tiga Pilar kel Kp baru melakukan kegiatan pemberlakuan  pembatasan kegiatan Masyarakat berbasis mikro di Sepanjang jalan  katamso memberi  himbauan dengan  meningkatnya waahCovid 19, maka kita waji pakai masker, cuci tangan, jaga jarak, hindari kerumunan dan mengurangi mobilitas",https://t.co/0Fv3nIKDav,
44,3/24/2021 8:28,1.37E+18,Kodim 1013 Muara Teweh,Muara Teweh - Kasdim 1013/  hadiri Rapat Persiapan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro Provinsi Kalimantan Tengah tahun 2021 secara virtual bertempat di kantor Kel. Melayu Jl. Kapten Piere Tendean Kec. Teweh Tengah Ka. arito Utara,https://t.co/rdOdx1eauC,arito Utara
45,3/24/2021 8:25,1.37E+18,PD DKI Jakarta,Rabu (24/03) PD DKI Jakarta melakukan  pendistribusian  bantuan logistik untuk mendukung pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) berbasis Mikro Provinsi Kalimantan Tengah tahun 2021 secara virtual bertempat di kantor Kel. Melayu Jl. Kapten Piere Tendean Kec. Teweh Tengah Ka. arito Utara,https://t.co/sLEO0pAR1d,ka arito
46,3/24/2021 8:20,1.37E+18,KODIM1409/GOWA,Sertu ahtiar (babinsa desa katangka) koramil 08 ontonompo melaksanakan komunikasi sosial( komsos )  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro.,https://t.co/9f9UatKS0T,
47,3/24/2021 8:20,1.37E+18,KODIM1409/GOWA,"di kantor desa dusun katangka jalan poros katangka ategulung desa katangka, kec.ontonompo ka Gowa Sertu ahtiar (babinsa desa katangka) koramil 08 ontonompo melaksanakan komunikasi sosial( komsos )  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro.",https://t.co/nXNxaIjJxs,
48,3/24/2021 8:20,1.37E+18,KODIM1409/GOWA,Serka Aasruddin babinsa ontoiraeng selatan koramil 1409- 08/ontonompo melaksanakan komunikasi sosial komsos  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro PPKM dan vaksinasi di dusun anassappu  Desa ontoiraeng selatan  kec.ontonompo ka Gowa.,https://t.co/ciRPprvrxW,Ka Goa
49,3/24/2021 8:19,1.37E+18,KODIM1409/GOWA,bertempat d Posko PPKM Desa Panciro babinsa Sertu sedang memberikan arahan terhadap Mahasiswa   Mahasiswib yang ikut memantu dalam rangka pemberlakuan PPKM pemberlakuan  pembatasan  Kegiatan Masyarakat.,https://t.co/HiXu8qd1g1,Ka Goa
50,3/24/2021 8:18,1.37E+18,KODIM1409/GOWA,bertempat d Posko PPKM Desa Panciro babinsa Sertu sedang memberikan arahan terhadap Mahasiswa   Mahasiswib yang ikut memantu dalam rangka pemberlakuan PPKM pemberlakuan  pembatasan  Kegiatan Masyarakat.,https://t.co/Gi5l07JRj6,Ka Goa
51,3/24/2021 8:05,1.37E+18,KODIM1409/GOWA,Serka Aasruddin babinsa ontoiraeng selatan koramil 1409- 08/ontonompo melaksanakan komunikasi sosial komsos   pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro (PPKM) dan vaksinasi di dusun anassappu Desa ontoiraeng selatan  kec.ontonompo ka Gowa.,https://t.co/Jt1DM8mjNA,Ka Goa
52,3/24/2021 8:02,1.37E+18,KODIM1409/GOWA,"di kantor desa dusun katangka jalan poros katangka ategulung desa katangka, kec.ontonompo ka Gowa Sertu  ahtiar (babinsa desa katangka) koramil 08 ontonompo melaksanakan komunikasi sosial( komsos )  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro.",https://t.co/u2q5zFgTgo,Ka Goa
53,3/24/2021 7:57,1.37E+18,Pemprov NT,berbagai upaya dalam memutus rantai penyebaran covid19 terus dilakukan. Kali ini PPKM Mikro berbasis RT menjadi langkah yang dipilih. sebagaimana Instruksi Menteri Dalam Negeri Nomor 6 Tahun 2021 tentang Perpanjangan Pemberlakukan  pembatasan Kegiatan Masyarakat berbasis Mikro,https://t.co/Q1iFiwjGwa,
54,3/24/2021 7:41,1.37E+18,Kodim 1013 Muara Teweh,"Koramil 1013-11/Sumer arito Tegakan Protkes Covid-19  Murung Raya - Koramil 1013-11/Sumer arito mengimplementasikan pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) di Kecamatan Sumer arito, pada hari Selasa (23/30/21).",https://t.co/HolUCYRd3,
55,3/24/2021 7:35,1.37E+18,JDIH Kabupaten Semarang,Instruksi bupati Semarang Nomor 6 Tahun 2021 tentang Perpanjangan pemberlakuan  pembatasan Kegiatan Masyarakat berbasis Mikro Untuk Pengendalian penyebaran Corona Virus Disease 2019 Di Kabupaten Semarang,https://t.co/UWHLKHirdq,Ka Semarang
56,3/24/2021 7:02,1.37E+18,kejati_kalteng,"Rapat Koordinasi Dalam Rangka Kesiapan pelaksanaan pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) di Provinsi Provinsi Kalimantan Tengah yang dipimpin oleh gubernur Kalimantan Tengah H. Sugianto Saran. (Rabu, 24 Maret 2021)",https://t.co/RippCy4QN5,prov Kalimantan tenagh 
57,3/24/2021 6:52,1.37E+18,Humas Polres Metro bekasi Kota,GIAT PATROLI wilayah  himbauan PROKES 5M PENEGAKAN DISIPLIN PROKES DAN PENberapaN pemberlakuan jam  pembatasan Masyarakat SERTA ANTISIPASI GANGGUAN GUANTIMAS.,https://t.co/efeGaGUSDW,bekasi
58,3/24/2021 6:43,1.37E+18,NalaR ®️ ☕,PT ank Mandiri Tk mencatatkan tren pertumuhan uang elektronik kartu. Tren transaksi e-Money per Januari 2021 tumuh 12 persen secara year on year (YoY) meskipun di awal tahun mulai dijalankan pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) yang ketat.,https://t.co/98LPerhohL,
59,3/24/2021 6:19,1.37E+18,Kodim0504JakartaSelatan,Koramil 07/Cilandak ( Pelda RA.Syukur dan Sertu Endang ) dan Psk KO melaksanakan giat pemberlakuan  pembatasan Kegiatan Masyarakat (PPKM) dengan menggelar operasi Yustisi Protokol Covid-19 bersama Tiga Pilar tingkat Kecamatan Cilandak bertempat di Jl.  bandara Kel. Pondok Lau.,https://t.co/iptMDry8ys,Cilandak
